WEEKLY (ROUGHLY) NITROUS OXIDE READINGS AT AMERICAN SAMOA 1/77 TO 12/86
JIM ELKINS (NOAA) FTS 320-6224    JIM'S NAME FOR FILE = SMON2O_WK.DAT
NUMBER OF OBSERVATIONS = 888
RESPONSE VARIABLE = MEAN NITROUS OXIDE CONCENTRATION (IN PARTS PER ???)
ORDER OF VARIABLES ON A LINE IMAGE--
   1. YEAR (1977 TO 1986)
   2. DAY OF YEAR (1 TO 365)
   3. SAMPLE BOTTLE (OF ONLY MINOR INTEREST)
   4. STANDARD DEVIATION (OVER 3 OBSERVATIONS)
   5. MEAN (OVER 3 OBSERVATIONS) NITROUS OXIDE CONCENTRATION (PP?)
   6. VALIDITY FLAG (ONLY USE DATA WITH FLAG = 0)
   7. WATER VAPOR
   8. CO2
NOTE--ONLY USE DATA WITH VALIDTY FLAG = 0
      POLLUTION = COMBINATION OF HIGH CO2 AND HIGH FREON
                  WHEN FREON HIGH, EXPECT HIGH CO2 (POLLUTION)
                  CO2 COMES FROM COMBUSITON OF FOSSIL FUELS
                  FREON COME FROM AIR CONDITIONS
      AT MOST SITES, THERE SHOULD BE A SEASONAL EFFECT FOR CO2
      AT POINT BARROW, THERE IS ALSO A SEASONAL EFFECT FOR FREON-11
QUESTIONS--
   TRENDS AND CYCLES OVER TIME?
   RELATIONSHIP BETWEEN FREON AND WATER VAPOR?
   RELATIONSHIP BETWEEN FREON AND CO2?
   SAME PATTERNS AT ALL 5 SITES?
1978  99 163  1.2 301.3  0   1.0077 334.7800
1978  99 163  2.4 298.7  0   1.0077 334.7800
1978 108 164  2.2 298.0  0   1.0076 335.4300
1978 108 164  1.5 299.8  0   1.0076 335.4300
1978 121 165  1.6 299.3  0   1.0083 333.7200
1978 121 165  3.1 299.1  0   1.0083 333.7200
1978 126 166  2.5 300.7  0   1.0086 335.1900
1978 126 166  0.5 302.1  0   1.0086 335.1900
1978 133 167  1.7 300.8  0   1.0084 336.6700
1978 133 167  1.7 300.9  0   1.0084 336.6700
1978 137 168  1.5 300.8  0   1.0088 334.2000
1978 137 168  1.4 301.0  0   1.0088 334.2000
1978 148 169  1.2 300.9  0   1.0091 334.7400
1978 148 169  2.6 301.7  0   1.0091 334.7400
1978 159 170  2.4 300.3  0   1.0100 335.3200
1978 159 170  3.0 298.2  0   1.0100 335.3200
1978 168 171  2.1 301.0  0   1.0101 334.3500
1978 168 171  3.6 303.9  0   1.0101 334.3500
1978 176 172  1.5 299.4  0   1.0088 335.4700
1978 176 172  1.8 299.4  0   1.0088 335.4700
1978 189 173  1.9 297.5  0   1.0090 334.7700
1978 189 173  1.7 300.5  0   1.0090 334.7700
1978 196 174  1.0 298.6  0   1.0085 334.8500
1978 196 174  1.5 299.6  0   1.0085 334.8500
1978 202 175  0.6 299.9  0   1.0090 334.7000
1978 202 175  2.4 300.0  0   1.0090 334.7000
1978 208 176  2.2 300.3  0   1.0087 335.0000
